"~~~~~   CUI   ~~~~~",
"Vuln ID","Status","Comments","Finding Details",
"V-230247","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230248","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230249","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230250","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230251","Not A Finding","# grep -i macs /etc/crypto-policies/back-ends/opensshserver.config
CRYPTO_POLICY='-oCiphers=aes256-ctr,aes192-ctr,aes128-ctr -oMACs=hmac-sha2-512,hmac-sha2-256,hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com -oGSSAPIKeyExchange=no -oKexAlgorithms=ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group16-sha512,diffie-hellman-group18-sha512 -oHostKeyAlgorithms=ecdsa-sha2-nistp256,ecdsa-sha2-nistp256-cert-v01@openssh.com,ecdsa-sha2-nistp384,ecdsa-sha2-nistp384-cert-v01@openssh.com,ecdsa-sha2-nistp521,ecdsa-sha2-nistp521-cert-v01@openssh.com,rsa-sha2-256,rsa-sha2-256-cert-v01@openssh.com,rsa-sha2-512,rsa-sha2-512-cert-v01@openssh.com -oPubkeyAcceptedKeyTypes=ecdsa-sha2-nistp256,ecdsa-sha2-nistp256-cert-v01@openssh.com,ecdsa-sha2-nistp384,ecdsa-sha2-nistp384-cert-v01@openssh.com,ecdsa-sha2-nistp521,ecdsa-sha2-nistp521-cert-v01@openssh.com,rsa-sha2-256,rsa-sha2-256-cert-v01@openssh.com,rsa-sha2-512,rsa-sha2-512-cert-v01@openssh.com -oCASignatureAlgorithms=ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,rsa-sha2-256,rsa-sha2-512'
#","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230252","Not A Finding","# grep -i ciphers /etc/crypto-policies/back-ends/opensshserver.config
CRYPTO_POLICY='-oCiphers=aes256-ctr,aes192-ctr,aes128-ctr,aes256-gcm@openssh.com,aes128-gcm@openssh.com -oMACs=hmac-sha2-512,hmac-sha2-256,hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com -oGSSAPIKeyExchange=no -oKexAlgorithms=ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group-exchange-sha256,diffie-hellman-group14-sha256,diffie-hellman-group16-sha512,diffie-hellman-group18-sha512 -oHostKeyAlgorithms=ecdsa-sha2-nistp256,ecdsa-sha2-nistp256-cert-v01@openssh.com,ecdsa-sha2-nistp384,ecdsa-sha2-nistp384-cert-v01@openssh.com,ecdsa-sha2-nistp521,ecdsa-sha2-nistp521-cert-v01@openssh.com,rsa-sha2-256,rsa-sha2-256-cert-v01@openssh.com,rsa-sha2-512,rsa-sha2-512-cert-v01@openssh.com -oPubkeyAcceptedKeyTypes=ecdsa-sha2-nistp256,ecdsa-sha2-nistp256-cert-v01@openssh.com,ecdsa-sha2-nistp384,ecdsa-sha2-nistp384-cert-v01@openssh.com,ecdsa-sha2-nistp521,ecdsa-sha2-nistp521-cert-v01@openssh.com,rsa-sha2-256,rsa-sha2-256-cert-v01@openssh.com,rsa-sha2-512,rsa-sha2-512-cert-v01@openssh.com -oCASignatureAlgorithms=ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,rsa-sha2-256,rsa-sha2-512'
#","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: fail",
"V-230253","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230254","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230255","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230256","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230257","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230258","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230259","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230260","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230261","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230262","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: pass",
"V-230263","Not A Finding","[root@rhel8baseline ~]# ls -l /etc/cron.daily/
total 8
-rwxr-xr-x. 1 root root 189 Jan  4  2018 logrotate
-rwxr-xr-x. 1 root root 122 Dec  6 11:21 V230263","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230264","Open","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: fail",
"V-230265","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230266","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230267","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230268","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230269","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230270","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230271","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230272","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230273","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230274","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230275","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230276","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230277","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230278","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230279","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230280","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230281","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230282","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230283","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230284","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230285","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230286","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230287","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230288","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230290","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230291","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230292","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230293","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230294","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230295","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230296","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230298","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230299","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230300","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230301","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230302","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230303","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230304","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230305","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230306","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230307","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230308","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230309","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230310","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230311","Open","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: fail",
"V-230312","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230313","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230314","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230315","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230316","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230317","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230318","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230319","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230320","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230321","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230322","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230323","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230324","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230325","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230326","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230327","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230328","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230329","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230330","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230331","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230332","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230333","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230334","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230335","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230336","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230337","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230338","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230339","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230340","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230341","Open","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: fail",
"V-230342","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230343","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230344","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230345","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230346","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230347","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230348","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230349","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230350","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230351","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230352","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230353","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230354","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230355","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230356","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230357","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230358","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230359","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230360","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230361","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230362","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230363","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230364","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230365","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230366","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230367","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230368","Open","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: fail",
"V-230369","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230370","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230371","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230372","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230373","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230374","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230375","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230376","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230377","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230378","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230379","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230380","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230381","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230382","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230383","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230384","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230385","Not Reviewed","","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230386","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230387","Not A Finding","# grep -s cron /etc/rsyslog.conf /etc/rsyslog.d/*.conf
/etc/rsyslog.conf:*.info;mail.none;authpriv.none;cron.none                /var/log/messages
/etc/rsyslog.conf:# Log cron stuff
/etc/rsyslog.conf:cron.*                                                  /var/log/cron","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: notchecked",
"V-230388","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230389","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:44:22
Result: pass",
"V-230390","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230392","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230393","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230394","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230395","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230396","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230397","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230398","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230399","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230400","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230401","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230402","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230403","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230404","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
"V-230405","Not A Finding","Scanned result is NF","Tool: cpe:/a:niwc:scc:5.8
Time: 2023-12-06T09:48:45
Result: pass",
